Ref Number,Date/time received,Page Title,Page URL,What's wrong,Details,Topic,Personal info (Y/N),Notes
05/20-0069,Tue May 12 2020 01:11:19 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,Other,"séjour de 7 jours en milieux hospitalier pour une opération, isolation???",Quarantine - After surgery in hospital,,
05/20-0072,Tue May 12 2020 02:59:03 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,Je suis de Québec est ce que je peux aller visiter mon frère à terrebonne pour2 jours,Permissible activities - Social contact,,
05/20-0073,Tue May 12 2020 03:07:41 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,All the symptoms,Symptoms - All of them,,
05/20-0075,Tue May 12 2020 03:48:57 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,Just want to know when people can see their grandchildren,Permissible activities - Social contact,,
05/20-0085,Tue May 12 2020 11:47:24 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,"I was looking for things to do IF you get/have the virus....you know, bed rest, drink fluids etc",Treatment - treating COVID-19 at home,,
05/20-0089,Tue May 12 2020 10:40:03 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,Antibiotics,Treatment - Antibiotics,,
05/20-0090,Tue May 12 2020 10:43:42 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,how long does Covid-19 last on cardboard?,Virus survival - how long it lives on surfaces,,
05/20-0109,Tue May 12 2020 13:02:47 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,la fievre apparait combien de temps apres la toux,"Symptoms - Fever, cough - when do they appear",,
05/20-0111,Tue May 12 2020 14:30:00 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,What temperature in Fahrenheit should I be concerned that it could be covid 19,Symptoms - Fever - what temperature,,
05/20-0117,Tue May 12 2020 16:04:01 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,If the nasal test is taken today when will I know the results?,COVID-19 test - How long for results,,
05/20-0122,Tue May 12 2020 15:30:21 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,I am trying to get the results of my coved-19 test done last week! Neither the Health Unit or I can find the link to results!! I have tried coved-19.ontario.ca and there is NOT a spot there!! Can you please help,COVID-19 test - Looking for test results,,
05/20-0126,Tue May 12 2020 16:13:44 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,loose stools,Symptoms - Loose stools,,
05/20-0128,Tue May 12 2020 16:19:38 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,how do asymtomatic people spread covid 19,Spread - By asymptomatic people,,
05/20-0144,Tue May 12 2020 18:36:38 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,ou aller pour tester pour le covid,COVID-19 test - Where to get a test,,
05/20-0145,Tue May 12 2020 18:50:36 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,Temperatures are not listed on the symptoms section?,Symptoms - Fever temperature,,
05/20-0027,Mon May 11 2020 16:40:33 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,Jaimerais savoir pour le co voiturage..... dois je avoir mon passager en arriere ou il peut etre assis a cote moi,Permissible activities - Carpool - where passengers should sit - back seat or front seat,,
05/20-0033,Mon May 11 2020 18:12:41 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,Other,,No details,,
05/20-0050,Mon May 11 2020 21:12:08 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,,No details,,
05/20-0055,Mon May 11 2020 21:51:35 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,,No details,,
05/20-0084,Tue May 12 2020 11:45:02 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,,No details,,
05/20-0087,Tue May 12 2020 08:36:12 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,,No details,,
05/20-0108,Tue May 12 2020 13:22:01 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,Je voudrais savoir quel site je dois visiter pour savoir si les frontières sont ouvertes pour l'Espagne & France aux voyageurs internationaux,Travel - Borders open in other countries,,
05/20-0120,Tue May 12 2020 15:18:12 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,,No details,,
05/20-0121,Tue May 12 2020 15:18:12 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,,No details,,
05/20-0129,Tue May 12 2020 16:28:03 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,J'ai droit à agence du revenu de canada a 500.00 . Car je suis à risque je suis asthmatique et m poc . J'ai besoin de savoir si jai besoin d une cessation d emploi . Si oui quest que mon employeur doit écrire sur ma cessation. J'ai mon papier de médecin en main,Financial support - For individuals - Requirements,,
05/20-0136,Tue May 12 2020 17:31:38 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,,No details,,
05/20-0001,Mon May 11 2020 15:20:50 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,I need to know if I can travel from Toronto to Muskoka cottage this weekend,Travel - to cottage,,
05/20-0002,Mon May 11 2020 13:22:17 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,Not enough information on symptoms by now there should other infomation such as things people notice before getting sick. Could be simple things like a different taste in a persons mouth or headache and other items,Symptoms - More info/details,,
05/20-0006,Mon May 11 2020 13:37:15 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,I am on oxygen 24/day. Should I wear a face mask?,Face mask - Use,,
05/20-0007,Mon May 11 2020 13:46:40 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,Is 38.8temp concerning,Symptoms - Fever,,
05/20-0029,Mon May 11 2020 16:56:01 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,So when are yall going to roll out the mark?,Feedback unclear,,
05/20-0032,Mon May 11 2020 17:42:04 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,"The list of symptoms doesn’t include any of the new ones I’ve been hearing about (loss of smell/taste, purple rash, etc).",Symptoms - more details/info,,
05/20-0039,Mon May 11 2020 19:07:10 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,endroit pour passer le test a drummondville,COVID-19 test - Where to get a test,,
05/20-0054,Mon May 11 2020 21:32:35 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,"Ma tempéreture corporelle monte et redescend depuis 2 jours et j'ai ma l aux membres mais plus aux jambes,Je tousse et j'ai comme une infection dans le nez et aux parties intimesça pique.Donc je veux savoir si mes symptômes pourrait être le coronavirus.",Symptoms - do I have COVID,,
05/20-0057,Mon May 11 2020 22:05:16 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,Es til normal que le temps d avoir le resultat du test prend plus que 72h quand il te dise entre 48h et 72h,COVID-19 test - How long for results,,
05/20-0076,Tue May 12 2020 03:53:54 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,When I can return back to work after get covid test negative?,COVID-19 test - return to work,,
05/20-0077,Tue May 12 2020 04:32:31 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,Symptoms if I might have Covid-19! I have low immune system as well as heart problems.,Symptoms For vulnerable people,,
05/20-0082,Tue May 12 2020 08:28:38 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,I want to send masks to Canada from Turkey. But I need more details regarding your standards. I've seen the American flag on some standards and need the spec for it. Can you help?,Face mask - Supply Canada from Turkey,,
05/20-0107,Tue May 12 2020 12:46:15 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,comment et ou pour les clinique de depistage?,COVID-19 test - Where to get a test,,
05/20-0124,Tue May 12 2020 12:44:00 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,I have a roommate that is showing signs,Transmission - Roommate,,
05/20-0125,Tue May 12 2020 16:07:35 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,Other,,No details,,
05/20-0133,Tue May 12 2020 17:04:50 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other,Mucus type of a caugh,Symptoms - cough with mucus,,
05/20-0137,Tue May 12 2020 17:41:06 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other,"If we want to conduct temperature check for customer, what PPE is necessary?",Workplace - How to safely do temperature check of customer,,
05/20-0003,Mon May 11 2020 13:09:14 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0004,Mon May 11 2020 13:24:47 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,There is an article stating it’s illegal to not wear a face mask in public in Canada. Is this true? Your website states optional. Also purchasing them takes supplies from those who need them,Face mask - Use,,
05/20-0005,Mon May 11 2020 13:27:57 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,what tp know the rules,Feedback unclear,,
05/20-0008,Mon May 11 2020 14:05:33 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,Looking for a contact to request a self isolation requirement be revoked as it was issues by mistake.,Self-isolation - How to get it revoked if issued by mistake,,
05/20-0009,Mon May 11 2020 14:09:49 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0010,Mon May 11 2020 14:12:24 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,I'm wondering if you have a serve case how do you treat it?,Treatment - for severe case,,
05/20-0011,Mon May 11 2020 14:24:06 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0012,Mon May 11 2020 14:29:43 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0015,Mon May 11 2020 14:56:31 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,If someone is asymptomatic and they quarantine for 14 days are they still a risk to spread the virus. (If they never show symptoms will the virus be gone in 14 days?),Contagious - how long,,
05/20-0016,Mon May 11 2020 14:57:10 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,"If you suspect you have a mild case of corona virus, how long does it take to get better? Also are there other symptoms that are associated with the recovery stage?",Recovery - How long does it take / symptoms,,
05/20-0018,Mon May 11 2020 15:20:12 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Moi garçon testé positif après 14jour encor des symptôme,Feedback unclear,,
05/20-0020,Mon May 11 2020 13:26:43 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,You don't answer what is covid-19? Other than a new disease.,What is COVID-19 - More info/details,,
05/20-0021,Mon May 11 2020 15:56:58 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,Procedure for laundering Covid contaminated bedding,"Prevention - Virus contaminated bedding, how to launder",,
05/20-0022,Mon May 11 2020 16:22:39 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,"I want to know if I have one of the coronavirus symptoms such as muscle pain, what pain med should I take?",Treatment - Muscle pain symptom,,
05/20-0023,Mon May 11 2020 16:26:03 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,if I live on a farm by myself and am in self isolation can I go around my farm,Self-isolation - permitted to go around my farm,,
05/20-0025,Mon May 11 2020 16:32:47 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,"J'aimerais avoir les coordonnées téléphoniques car a la demande de CHUS, on me demande d'aller passer le test pour la covid vu mes symptômes",COVID-19 test - Where to get a test,,
05/20-0026,Mon May 11 2020 16:36:58 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,"mental health portal URL just given by minister of health, no whereto be found!",Mental health - Looking for URL for mental health portal,,
05/20-0028,Mon May 11 2020 16:44:12 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,What is the coronavirus?,What is COVID-19,,
05/20-0030,Mon May 11 2020 17:03:12 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0031,Mon May 11 2020 17:25:33 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,how to treat myself at home?,Treatment - treating COVID-19 at home,,
05/20-0034,Mon May 11 2020 18:16:46 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,"If you are for example walking down a hallway and you cant maintain the 2 meters distance, is there a time limit for when you need to worry about possibly becoming infected",RIsk/Spread - if unable to maintain physical distance when walking down hallway,,
05/20-0035,Mon May 11 2020 18:30:03 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,Are we able to visit immediate family if physical distancing is maintained and group size is less than 10 people?,Permissible activities - Social contact,,
05/20-0036,Mon May 11 2020 18:49:09 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,"If a company has a confirmed case of COVID-19, do employees working there have a right to not got to work for safety reasons?",Workplace - worker rights not to go to work for safety reasons,,
05/20-0037,Mon May 11 2020 18:56:28 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Enfant ayant urticaire sur bras quoi faire ?,Treatment - child with hives on arm,,
05/20-0041,Mon May 11 2020 19:15:25 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,"If daycares are closed, how can my neighbor still be looking after 3 preschoolers? Isn’t that a health risk to her and the children?",Risk - Neighbour looking after preschoolers,,
05/20-0042,Mon May 11 2020 19:15:29 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,why is there not information for severe symptoms. Directing the general public to call their health care provider for suggestions to relieve symptoms seems like a time waster when acute symptoms require acute treatment -- like 911 or presentation for urgent assessment like an urgent care or ER/ED,Symptoms - severe - what to do,,
05/20-0043,Mon May 11 2020 19:30:32 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,I have the runs (flu). It's almost a liquid.,Feedback unclear,,
05/20-0044,Mon May 11 2020 20:02:56 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,ma conjointe a été teste positif le 6 avril .Cela fait 4 test qui sont négatifs mais mon employeur refuse que je retourne travailler car j ai pas passe de test,COVID-19 test - return to work,,Personal information (email address) was included in email and has been removed.
05/20-0047,Mon May 11 2020 20:47:56 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,"Est-ce qu'il est possible de passer un test pour savoir si on a eu le covid, pour être en mesure de retourner au travail sans avoir peur de l'attrapper",COVID-19 test - Can we get tested to see if we already had COVID and are safe to return to work,,
05/20-0048,Mon May 11 2020 20:57:44 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0053,Mon May 11 2020 21:22:23 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,,No details,,
05/20-0058,Mon May 11 2020 22:18:07 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Une personne qui a le covid-19 combien de jours était t'elle contagieuse avant les symptômes,Contagious - how long,,
05/20-0059,Mon May 11 2020 22:25:05 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Quand on travail et qu'on met notre vie en danger il y a un revenu de 100$ /sem je veux m'inscrire merci .Je suis chauffeur d autobus scolaire,Feedback not clear,,
05/20-0060,Mon May 11 2020 22:33:04 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,If I have tested positive and finished my isolation period will I be able to get someone else sick.,Contagious - after isolation,,
